caishen_store,fk-w3-caishen-yak
prod_accounting_abl,abl-yak
prod_accounting_mpca,gal-yak
prod_assets_mh_1,assets-mh-yak-cluster
prod_entity_manager_em_admin_1,entity-manager
prod_entity_manager_em_ns_0,entity-manager
prod_entity_manager_em_ns_1,entity-manager
prod_entity_manager_em_ns_2,entity-manager
prod_entity_manager_em_ns_3,entity-manager
prod_entity_manager_em_ns_5,entity-manager
prod_entity_manager_em_ns_6,entity-manager
prod_entity_manager_em_ns_7,entity-manager
prod_entity_manager_em_ns_8,entity-manager
prod_ff_konark,fk-fse-fulfillment-yak
prod_fintech_usl,fintech-user-service-prod-store
prod_fkpg_firebolt_sideline,prod-firebolt-sideline-yak
prod_fkpg_intent,prod-yak-intent
prod_fkpg_unicorn,prod-unicorn-yak
prod_fkpg_unicorn_firebolt,prod-unicorn-yak
prod_oms3_eventsjoin,yak-oms
prod_retail_srm,retail-srm-yak
prod_transport_shipment,ekl-transport-yak
