prod_cart_cartacc,cart-yak-account
prod_cart_cartversion,cart-yak-versioned
prod_cart_sfl,cart-yak-sfl
prod_checkout_checkout,prod-checkoutprimaryhbase
prod_checkout_grocery_transient,dorado-grocery-yak
prod_checkout_shopsy_fk_transient,dorado-shopsy-fk-yak
prod_connekt_pull,fk-connekt-hbase
prod_ffb_pno,ffb-pno-hbase-yak-prod
prod_fkpg_offers,fkpg-offers-yak-prod
prod_games_hbase,games-yak
prod_lockin_boomerang,lockin-boomerang-prod
prod_mapi_sessionmapi,fk-session-hbase
prod_mapi_sessionrest,fk-session-hbase
prod_oms3_snapshot,tr-snapshot-svc
prod_session_kevlar,fk-kevlar-hbase
prod_session_kevlar_rest,fk-kevlar-rest-hbase
prod_uie_attribute,prod-pp-attribute-hbase
prod_usl_gh,usl-gh-sp-hbase
prod_usl_lockin,gap-usl-lockin-yak-prod
prod_wms_im_inv_view,fk-assets-im-yak
